Conversations,LastIteration,TrainingString,Type
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Wu   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I like the book appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - Kia Optima.
   👩🏻‍💻: - Please say your vehicle's year 
👱‍♀️: - 2012.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Engine check.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Split services.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - Drop off.
   👩🏻‍💻: - Our first availability isMonday August 22nd at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date 
👱‍♀️: - Representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Representative.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I like the book appointment. ‍,Booking
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Ms Martinez   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Speak to a representative.
   👩🏻‍💻: - We are closed now. Please leave us a message and our agents will follow up with you as soon as possible. ","
👱‍♀️: - 202-726-4012. Please enter the call summary followed by the pound key.
   👩🏻‍💻: - good bye",Speak to a representative. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Check. Appointment date.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2014.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","
👱‍♀️: - 202-726-6251, please enter the call summary followed by the pound key.
   👩🏻‍💻: - good bye.",Check. Appointment date. ‍,Confirm
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Liquor service appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2016. Kia Sorento V6.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - State at the dealership.
   👩🏻‍💻: - We could not find any availability on that day. What day and time would you like to bring your car?
👱‍♀️: - Wednesday.
   👩🏻‍💻: - We have availabilityWednesday August 24th at 7:30 AM, 8:30 AM and 9:50 AMPlease select a time, say next, or say a date
👱‍♀️: - 10:30 a.m.
   👩🏻‍💻: -    Please select a time slot from the following list    7:30 AM, 8:30 AM and 9:50 AM, say next, or say another date    
👱‍♀️: - Next.
   👩🏻‍💻: - No matched intent
👱‍♀️: - 10:30 a.m.
   👩🏻‍💻: -    Please select a time slot from the following list    7:30 AM, 8:30 AM and 9:50 AM, say next, or say another date    
👱‍♀️: - 9:50 a.m.
   👩🏻‍💻: - Please say your first name and last name
👱‍♀️: - Why lie?
   👩🏻‍💻: - No matched intent
👱‍♀️: - Yes.
   👩🏻‍💻: - Please say your first name then spell it
👱‍♀️: - first name, spelled w a i
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Spell. L e, e.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Liquor service appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I would like to make an appointment for service on my car, or for Monday.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - What year is it, 19?
   👩🏻‍💻: - No matched intent
👱‍♀️: - Stinkers Bay.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 02726 16 89 summary followed by the pound key.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - We're sorry, the number you entered is either invalid or we did not receive your response. Please enter the call summary followed by the pound key.
   👩🏻‍💻: - Good bye","I would like to make an appointment for service on my car, or for Monday. ‍",Booking
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I need a time frame on a service.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Operator.
   👩🏻‍💻: - Please say your first name then spell it
👱‍♀️: - 202-726-1748 please enter the call summary followed by the pound key.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - We're sorry, the number you entered is either invalid or we did not receive your response. Please enter the call summary followed by the pound key.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need a time frame on a service. ‍,Status
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Ms Fisher   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Talk to a person.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - 1, 1 6, 1 3, 6, 9 3 5 9, please enter the call summary followed by the pound key.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Talk to a person. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Ms Fisher   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Talk to a person.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - 1, 1 6, 1 3, 6, 9 3 5 9, please enter the call summary followed by the pound key.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Talk to a person. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Talk to person.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Unable to connect Apple carplay.
   👩🏻‍💻: - Please say your first name then spell it",Talk to person. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Mercado   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Oil change.
   👩🏻‍💻: -    Please say your vehicle year, make and model   
👱‍♀️: - Kia, 2012 Optima.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Kia Optima 2012.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait at the dealership.
   👩🏻‍💻: - Our first availability isTomorrow at 9:50 AM, 10:50 AM and 12:10 PM   Please select a time, say next, or say a date of your choice","
👱‍♀️: - 9:50 a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Oil change. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Goya   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Oil change.
   👩🏻‍💻: -    Please say your vehicle year, make and model   
👱‍♀️: - Kia Optima 2012.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - No.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Latest dealership.
   👩🏻‍💻: - Our first availability isTomorrow at 9:50 AM, 10:50 AM and 12:10 PM   Please select a time, say next, or say a date of your choice","
👱‍♀️: - Please enter the call summary followed by the pound key.
   👩🏻‍💻: - good bye.",Oil change. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Abrahams   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I need to speak to a technician at Boise.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I would like to know if you do electrical work.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need to speak to a technician at Boise. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Valdez   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Book appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - Kia. Soul 2012.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Under.
   👩🏻‍💻: - No matched intent
👱‍♀️: - List services.
   👩🏻‍💻: - Our services include;Recalls;Brake repair; AC and Cabin Filter Replacement;Engine light, Battery and Electrical system;Windshield Wipers and Fluid;Tire repairs and changes;and Inspection ;Please say a service name, or NEXT for more options
👱‍♀️: - Inspection.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Drop off.
   👩🏻‍💻: - Our first availability isSaturday September 3rd at 10:00 AM, 10:20 AM and 10:40 AM   Please select a time, say next, or say a date 
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - August 23rd.
   👩🏻‍💻: - We have availabilityTuesday August 23rd at 7:50 AM, 8:50 AM and 10:10 AMPlease select a time, say next, or say a date","
👱‍♀️: - 10:10 a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Book appointment. ‍,Booking
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Mr Duford   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I need to book an appointment for my car.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2018, Kia Optima.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - I'm having engine trouble with the injection or something.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Customer service.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I would like to speak to someone please.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need to book an appointment for my car. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Service advisor.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Question about the evaporation cleaning and recharge home AC.
   👩🏻‍💻: - Please say your first name then spell it
👱‍♀️: - Junior, junior.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Blanco b, l a n c, o.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Service advisor. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Mercado   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Book, an appointment.
   👩🏻‍💻: -    Thank you    would you like to book an appointment for your    2019 Optima ?   
👱‍♀️: - No.
   👩🏻‍💻: -     Please say your vehicle year, make and model  
👱‍♀️: - 2017. Kia Soul.
   👩🏻‍💻: - Thank you. Now, please tell me what service you would like, for example oil change?
👱‍♀️: - Customer service.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Representative.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ","Book, an appointment. ‍",Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Renn   Welcome to Stockton Hyundai. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today? 
👱‍♀️: - Make an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2022 Sonata hybrid.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Speak to basic service representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - A lot of my safety.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Make an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Magnasco   Welcome to Stockton Hyundai. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today? 
👱‍♀️: - I would like to make an appointment for today, if possible.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2018.
   👩🏻‍💻: - Please say your vehicle's model, for example, Kona 
👱‍♀️: - Kona.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Stuck.
   👩🏻‍💻: - No matched intent
👱‍♀️: - List services.
   👩🏻‍💻: - Our services include;Recalls;Brake repair; AC and Cabin Filter Replacement;Engine light, Battery and Electrical system;Windshield Wipers and Fluid;Tire repairs and changes;and Inspection ;Please say a service name, or NEXT for more options
👱‍♀️: - AC repair.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Drop it off.
   👩🏻‍💻: - Our first availability isTomorrow at 9:00 AM, 9:40 AM and 10:20 AM   Please select a time, say next, or say a date 
👱‍♀️: - Tomorrow.
   👩🏻‍💻: - We have availabilityTomorrow at 10:50 AM, 1:50 PM and 2:50 PMPlease select a time, say next, or say a date
👱‍♀️: - Tomorrow.
   👩🏻‍💻: - We have availabilityTomorrow at 10:50 AM, 1:50 PM and 2:50 PMPlease select a time, say next, or say a date","
👱‍♀️: - 1050 a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ","I would like to make an appointment for today, if possible. ‍",Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Simon   Welcome to Stockton Hyundai. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today? 
👱‍♀️: - Service advisor.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","
👱‍♀️: - I am calling for an update.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Service advisor. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Stockton Hyundai. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today? 
👱‍♀️: - Customer service person.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Can you connect me to a real person?
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Debra d. E. B r. A
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Green green.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Customer service person. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Mr Berteloot   Welcome to Stockton Hyundai. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today? 
👱‍♀️: - I have a question about what is involved in a service?
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I have I need to make an appointment, or 12,000 Mi service before I do that. I want to know what is entailed in that service and how long it will take.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I have a question about what is involved in a service? ‍,Operator
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
"
👱‍♀️: - WELCOME
   👩🏻‍💻: - Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today?","
👱‍♀️: - Representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.", Representative. ‍,Operator
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Smith   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Amanda Todd.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - ABS office.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Amanda Todd. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Mr Torres   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ","
👱‍♀️: - Check the status of a vehicle.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your status.   ", Check the status of a vehicle. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Durbin   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Talk to representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Checking on service maintenance on a car.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Talk to representative. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Speak to an advisor.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Mark, Mark.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Stiles Stiles.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - 860-258-5454.
   👩🏻‍💻: -    Please say yes to confirm our agent can contact you  ","
👱‍♀️: - Yep.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you soon. Good bye.   ",Speak to an advisor. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Hi, I want to see you but if I can get a key for my car because I lost it.
   👩🏻‍💻: - No matched intent
👱‍♀️: - All day.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - August.
   👩🏻‍💻: - No matched intent","Hi, I want to see you but if I can get a key for my car because I lost it. ‍",Book
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Llc   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - How much is an oil change?
   👩🏻‍💻: -  What is the year of your vehicle?
👱‍♀️: - 20 19.
   👩🏻‍💻: -  What is the model?
👱‍♀️: - Toyota Corolla.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Kaitlyn k. A t e. L y n.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - T a n g.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your service quotation for your 19 Toyota Corolla.. Good bye.   ",How much is an oil change? ‍,Quotation
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Customer service representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Customer service.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - A r l. I e.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Krty.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Customer service representative. ‍,Operator
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Lunski   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Get the help. I need.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Shaking, confirm battery repair.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Get the help. I need. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Ms Hearns   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - I need to make an appointment for my 21. Tacoma pickup truck.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - It's 2021 Takoma pickup.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Well, I just hit my 5,000 Mi maintenance.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Doesn't say it just says, make an appointment for maintenance.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - Wait at the dealership.
   👩🏻‍💻: - Our first availability isTuesday September 6th at 10:40 AM and 1:00 PM   Please select a time, say next, or say a date 
👱‍♀️: - September.
   👩🏻‍💻: - What date works for you?
👱‍♀️: - September 10th.
   👩🏻‍💻: - We have availabilitySaturday September 10th at 10:40 AM, 1:00 PM and 2:00 PMPlease select a time, say next, or say a date","
👱‍♀️: - 1:00.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",I need to make an appointment for my 21. Tacoma pickup truck. ‍,Booking
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Ms Aniello   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Shuttle pickup.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Need shuttle pick-up.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Shuttle pickup. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Reschedule appointment.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Andre andrc.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Mardirossian, mardirossian.
   👩🏻‍💻: - I did not find any appointment under this phone number.. Please say operator or other.
👱‍♀️: - Operator.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I need to reschedule my service appointment.
   👩🏻‍💻: -    Thank you. Glad to help you with your appointment. Please say your vehicle year, make and model   ",Reschedule appointment. ‍,Reschedule
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Mr Dobberstein   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - I need to talk to a person.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I need to discuss an issue with my vehicle.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need to talk to a person. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Parks   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Estimate of Toyota.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Representative. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Speak with the service advisor.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Airbag.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Aaron Aaron.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Fesler beseler.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Speak with the service advisor. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Mr Barnar   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Book appointment.
   👩🏻‍💻: -    Thank you    would you like to book an appointment for your    2020 tacoma ?   
👱‍♀️: - Yes.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Normal service.
   👩🏻‍💻: - No matched intent
👱‍♀️: - List services.
   👩🏻‍💻: - Our services include;Recalls;Brake repair; AC and Cabin Filter Replacement;Engine light, Battery and Electrical system;Windshield Wipers and Fluid;Tire repairs and changes;and Inspection ;Please say a service name, or NEXT for more options
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?","
👱‍♀️: - Drop off.
   👩🏻‍💻: - Our first availability isThursday September 15th at 9:30 AM, 12:00 PM and 1:00 PM   Please select a time, say next, or say a date ",Book appointment. ‍,Booking
